薪资,福利,工作年限,工作标签,学历,城市,公司名称
本科,上海骞云信息科技有限公司,上海,3-5年,"扁平化管理,团建旅游,带薪休假,五险一金","['云计算', '自动化', '测试']",17k-34k
学历,公司名称,城市,工作年限,福利,工作标签,薪资
本科,上海华钦信息科技股份有限公司,上海,1-3年,年终奖 六险一金 14天年假 定期体检,['Selenium'],12k-17k
本科,北京小年糕互联网技术有限公司,北京,1-3年,福利待遇 一日三餐 工作氛围,"['自动化', '脚本', '测试开发']",10k-15k
本科,浙江天垂科技有限公司,杭州,不限,"技术氛围好,发展空间大,弹性工作","['脚本', '自动化']",10k-20k
本科,思凯思特（北京）科技有限公司,深圳,5-10年,上市公司，核心项目，福利多多，不做加班狗,"['证券/期货', '测试', '自动化']",15k-25k
本科,北京易数科技有限公司,杭州,3-5年,领导nice 技术大牛 上升空间,"['产品测试', '测试开发', '自动化']",15k-20k
本科,深圳杰睿联科技有限公司,深圳,1-3年,"充分授权,前沿行业,充足预算,成长空间大","['功能测试', '性能测试', '自动化']",8k-15k
本科,深圳市赢时胜信息技术股份有限公司,长沙,1-3年,"绩效奖金,年终奖金,股权激励",['测试'],8k-15k
本科,狮桥融资租赁（中国）有限公司,北京,3-5年,五险一金，免费水果，团队建设,['自动化'],15k-30k
本科,四川迅游网络科技股份有限公司,成都,3-5年,六险一金，餐补，带薪年假，年度体检,"['Selenium', 'Rft', '自动化']",15k-25k
本科,深圳市穗彩科技开发有限公司,深圳,3-5年,自动化测试，Python，前沿技术,"['性能测试', '自动化']",8k-15k
大专,北京瑞达恒建筑咨询有限公司广州分公司,上海,3-5年,注重培训和发展、福利薪酬完善、氛围好,"['性能测试', '测试开发', '自动化测试', '测试']",15k-30k
本科,北京金堤科技有限公司,北京,3-5年,"精湛的团队,超牛的技术,超棒的领导","['移动互联网', '测试']",15k-20k
本科,凡普金科集团有限公司,北京,5-10年,六险一金，早10晚7，技术氛围好,"['测试', '自动化']",25k-35k
本科,中和农信项目管理有限公司,长沙,3-5年,年底多薪 七险一金 弹性工作,"['测试', '自动化']",10k-15k
本科,深圳市同为数码科技股份有限公司,深圳,3-5年,上市公司五险一金节日福利晋升空间,"['测试', '自动化测试']",14k-20k
学历,公司名称,城市,工作年限,福利,工作标签,薪资
本科,上海华钦信息科技股份有限公司,上海,3-5年,外资自动化测试 java或者python,"['金融', '自动化测试', '脚本']",16k-25k
